=== GENERIC MODEL-DIFF AUDIT — 17778 docs constructed against their real model ===

DROPPED PATH (stored but NOT in schema)                         DOCS  SAMPLE VALUE
forcepower . collection.upgrade3.islearned                       136  false
forcepower . collection.upgrade4.name                            136  "Range"
forcepower . collection.upgrade4.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade4.cost                            136  "20"
forcepower . collection.upgrade4.links-top-1                     136  true
forcepower . collection.upgrade4.links-right                     136  true
forcepower . collection.upgrade4.islearned                       136  false
forcepower . collection.upgrade5.name                            136  "Magnitude"
forcepower . collection.upgrade5.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade5.cost                            136  "10"
forcepower . collection.upgrade5.links-top-1                     136  true
forcepower . collection.upgrade5.links-right                     136  true
forcepower . collection.upgrade5.islearned                       136  false
forcepower . collection.upgrade6.name                            136  "Strength"
forcepower . collection.upgrade6.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade6.cost                            136  "15"
forcepower . collection.upgrade6.links-top-1                     136  true
forcepower . collection.upgrade6.links-right                     136  true
forcepower . collection.upgrade6.islearned                       136  false
forcepower . collection.upgrade7.name                            136  "Control: Status"
forcepower . collection.upgrade7.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade7.cost                            136  "20"
forcepower . collection.upgrade7.attributes                      136  {}
forcepower . collection.upgrade7.links-top-1                     136  true
forcepower . collection.upgrade7.links-right                     136  true
forcepower . collection.upgrade7.islearned                       136  false
forcepower . collection.upgrade8.name                            136  "Control: Medicine"
forcepower . collection.upgrade8.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade8.cost                            136  "20"
forcepower . collection.upgrade8.links-top-1                     136  true
forcepower . collection.upgrade8.links-right                     136  true
forcepower . collection.upgrade8.islearned                       136  false
forcepower . collection.upgrade9.name                            136  "Control: Critical"
forcepower . collection.upgrade9.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade9.cost                            136  "20"
forcepower . collection.upgrade9.attributes                      136  {}
forcepower . collection.upgrade9.links-top-1                     136  true
forcepower . collection.upgrade9.links-right                     136  true
forcepower . collection.upgrade9.islearned                       136  false
forcepower . collection.upgrade10.name                           136  "Mastery"
forcepower . collection.upgrade10.description                    136  "Please see page 292 of the Force 
forcepower . collection.upgrade10.cost                           136  "20"
forcepower . collection.upgrade10.attributes                     136  {}
forcepower . collection.upgrade10.links-top-1                    136  true
forcepower . collection.upgrade10.links-right                    136  true
forcepower . collection.upgrade10.islearned                      136  false
forcepower . collection.upgrade11.name                           136  "Strength"
forcepower . collection.upgrade11.description                    136  "Please see page 292 of the Force 
forcepower . collection.upgrade11.cost                           136  "15"
forcepower . collection.upgrade11.attributes                     136  {}
forcepower . collection.upgrade11.links-top-1                    136  true
forcepower . collection.upgrade11.links-right                    136  true
forcepower . collection.upgrade11.islearned                      136  false
forcepower . collection.upgrade12.islearned                      136  false
forcepower . collection.upgrade12.name                           136  ""
forcepower . collection.upgrade12.cost                           136  ""
forcepower . collection.upgrade12.links-right                    136  false
forcepower . collection.upgrade13.islearned                      136  false
forcepower . collection.upgrade13.name                           136  ""
forcepower . collection.upgrade13.cost                           136  ""
forcepower . collection.upgrade13.links-right                    136  false
forcepower . collection.upgrade14.islearned                      136  false
forcepower . collection.upgrade14.name                           136  ""
forcepower . collection.upgrade14.cost                           136  ""
forcepower . collection.upgrade14.links-right                    136  false
forcepower . collection.upgrade15.islearned                      136  false
forcepower . collection.upgrade15.name                           136  ""
forcepower . collection.upgrade15.cost                           136  ""
forcepower . collection.upgrade15.links-right                    136  false
forcepower . collection.upgrade12.links-top-1                    133  true
forcepower . collection.upgrade13.links-top-1                    133  false
forcepower . collection.upgrade14.links-top-1                    133  true
forcepower . collection.upgrade15.links-top-1                    133  true
forcepower . collection.upgrade12.canSplit                       132  true
specialization . collection.talent2.attributes.<id>.mod          131  "Strain"
specialization . collection.talent2.attributes.<id>.modtype      131  "Stat"
specialization . collection.talent2.attributes.<id>.value        131  1
forcepower . collection.upgrade12.description                    131  "Please see page 300 of the Age of
forcepower . collection.upgrade12.attributes                     131  {}
forcepower . collection.upgrade13.description                    131  "Please see page 300 of the Age of
forcepower . collection.upgrade13.attributes                     131  {}
forcepower . collection.upgrade14.description                    131  "Please see page 300 of the Age of
forcepower . collection.upgrade14.attributes                     131  {}
forcepower . collection.upgrade15.description                    131  "Please see page 300 of the Age of
forcepower . collection.upgrade15.attributes                     131  {}
forcepower . collection.upgrade11.canSplit                       126  false
specialization . collection.talent2.enrichedDescription          123  "Gain +1 strain threshold"
specialization . collection.talent1.attributes.<id>.mod          122  "Strain"
specialization . collection.talent1.attributes.<id>.modtype      122  "Stat"
specialization . collection.talent1.attributes.<id>.value        122  1
forcepower . collection.upgrade2.canSplit                        122  false
specialization . collection.talent4.attributes.<id>.mod          117  "Wounds"
specialization . collection.talent4.attributes.<id>.modtype      117  "Stat"
specialization . collection.talent4.attributes.<id>.value        117  2
forcepower . collection.upgrade6.attributes                      117  {}
forcepower . collection.upgrade9.canSplit                        117  false
specialization . collection.talent3.enrichedDescription          116  "Gain +1 strain threshold"
forcepower . collection.upgrade0.attributes                      116  {}
forcepower . collection.upgrade1.attributes                      116  {}
forcepower . collection.upgrade8.attributes                      116  {}
specialization . collection.talent12.enrichedDescription         110  "When targeted by an opposed socia
forcepower . collection.upgrade1.canSplit                        109  false
forcepower . collection.upgrade10.canSplit                       109  false
forcepower . collection.upgrade6.canSplit                        108  false
specialization . collection.talent18.enrichedDescription         107  "Once per session, may make an opp
specialization . collection.talent0.system                       106  {}
forcepower . collection.upgrade14.canSplit                       104  false
specialization . collection.talent7.attributes.<id>.mod          103  "Strain"
specialization . collection.talent7.attributes.<id>.modtype      103  "Stat"
specialization . collection.talent7.attributes.<id>.value        103  1
weapon . hasLongDesc                                             103  false
weapon . enrichedSpecial                                         103  ""
weapon . doNotSubmit.qualities                                   103  [{"name":"Cumbersome Quality","img
specialization . collection.talent8.enrichedDescription          102  "When targeted by an opposed socia
specialization . collection.talent11.enrichedDescription         102  "Once per session, may perform the
forcepower . collection.upgrade5.canSplit                        101  false
specialization . collection.talent1.enrichedDescription           98  "Gain +1 strain threshold"
forcepower . collection.upgrade5.attributes                       98  {}
specialization . collection.talent19.enrichedDescription          98  "Take Comprehend Technology action
specialization . collection.talent12.attributes.<id>.mod          98  "Wounds"
specialization . collection.talent12.attributes.<id>.modtype      98  "Stat"
specialization . collection.talent12.attributes.<id>.value        98  2
specialization . collection.talent5.attributes.<id>.mod           95  "Strain"
specialization . collection.talent5.attributes.<id>.modtype       95  "Stat"
specialization . collection.talent5.attributes.<id>.value         95  1
specialization . collection.talent14.enrichedDescription          95  "Gain +1 strain threshold"
specialization . collection.talent7.enrichedDescription           94  "May spend <span class=\"dietype s
forcepower . collection.upgrade4.attributes                       94  {}
specialization . collection.talent2.system                        91  {}
forcepower . collection.upgrade7.canSplit                         91  false
specialization . collection.talent10.enrichedDescription          89  "Gain +1 strain threshold"
specialization . collection.talent13.enrichedDescription          88  "Gain +1 strain threshold"
specialization . collection.talent11.attributes.<id>.mod          88  "Strain"
specialization . collection.talent11.attributes.<id>.modtype      88  "Stat"
specialization . collection.talent11.attributes.<id>.value        88  1
specialization . collection.talent6.attributes.<id>.mod           88  "Strain"
specialization . collection.talent6.attributes.<id>.modtype       88  "Stat"
specialization . collection.talent6.attributes.<id>.value         88  1
specialization . collection.talent5.enrichedDescription           87  "Gain +1 strain threshold"
specialization . collection.talent16.enrichedDescription          87  "When making a Brawl check against
specialization . collection.talent14.attributes.<id>.mod          86  "Strain"
specialization . collection.talent14.attributes.<id>.modtype      86  "Stat"
specialization . collection.talent14.attributes.<id>.value        86  1
specialization . collection.talent9.enrichedDescription           85  "Gain +1 strain threshold"
specialization . collection.talent8.attributes.<id>.mod           85  "Wounds"
specialization . collection.talent8.attributes.<id>.modtype       85  "Stat"
specialization . collection.talent8.attributes.<id>.value         85  2
specialization . collection.talent4.enrichedDescription           83  "May spend <span class=\"dietype s
specialization . collection.talent3.system                        83  {}
talent . enrichedDescription                                      83  "<p>When staggered or disoriented,
talent . <id>                                                     83  ""
talent . hasLongDesc                                              83  true
talent . doNotSubmit.qualities                                    83  []
specialization . collection.talent17.enrichedDescription          81  "Whenever a character makes a succ
weapon . enrichedDescription                                      80  "      Please see page 164 of the 
specialization . collection.talent18.attributes.<id>.mod          79  "Strain"
specialization . collection.talent18.attributes.<id>.modtype      79  "Stat"
specialization . collection.talent18.attributes.<id>.value        79  1
specialization . collection.talent6.enrichedDescription           78  "Take the Inspiring Rhetoric actio
specialization . collection.talent9.attributes.<id>.mod           74  "Strain"
specialization . collection.talent9.attributes.<id>.modtype       74  "Stat"
specialization . collection.talent9.attributes.<id>.value         74  1
shipattachment . rank                                             73  1
rival . stats.Brawn.value                                         73  3
rival . stats.Willpower.value                                     73  3
forcepower . collection.upgrade13.canSplit                        70  true
forcepower . collection.upgrade14.links-top-2                     69  true
forcepower . collection.upgrade3.canSplit                         68  false
forcepower . collection.upgrade2.links-top-2                      67  true
specialization . collection.talent13.attributes.<id>.mod          65  "Strain"
specialization . collection.talent13.attributes.<id>.modtype      65  "Stat"
specialization . collection.talent13.attributes.<id>.value        65  1
specialization . collection.talent12.system                       65  {}
specialization . collection.talent1.system                        64  {}
forcepower . collection.upgrade12.links-top-2                     63  false
specialization . collection.talent10.attributes.<id>.mod          61  "Strain"
specialization . collection.talent10.attributes.<id>.modtype      61  "Stat"
specialization . collection.talent10.attributes.<id>.value        61  1
specialization . collection.talent16.attributes.<id>.mod          61  "Soak"
specialization . collection.talent16.attributes.<id>.modtype      61  "Stat"
specialization . collection.talent16.attributes.<id>.value        61  1
specialization . collection.talent11.system                       60  {}
specialization . collection.talent15.enrichedDescription          59  "The character may extend the effe
specialization . collection.talent4.system                        59  {}
specialization . collection.talent7.system                        59  {}
specialization . collection.talent19.attributes.<id>.mod          56  "Wounds"
specialization . collection.talent19.attributes.<id>.modtype      56  "Stat"
specialization . collection.talent19.attributes.<id>.value        56  2
specialization . collection.talent5.system                        55  {}
specialization . collection.talent8.system                        55  {}
specialization . collection.talent18.system                       54  {}
forcepower . collection.upgrade15.canSplit                        52  false
ability . renderedDesc                                            49  {}
specialization . collection.talent9.system                        47  {}
specialization . collection.talent6.system                        47  {}
forcepower . collection.upgrade6.links-top-2                      47  true
specialization . collection.talent14.system                       44  {}
specialization . collection.talent10.system                       43  {}
specialization . collection.talent19.system                       40  {}
specialization . collection.talent17.attributes.<id>.mod          38  "ForcePool"
specialization . collection.talent17.attributes.<id>.modtype      38  "Stat"
specialization . collection.talent17.attributes.<id>.value        38  1
specialization . collection.talent16.system                       38  {}
signatureability . collection.upgrade0.name                       38  "Increase Effect (Setback)"
signatureability . collection.upgrade0.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade0.visible                    38  true
signatureability . collection.upgrade0.attributes                 38  {}
signatureability . collection.upgrade0.size                       38  "single"
signatureability . collection.upgrade0.canSplit                   38  false
signatureability . collection.upgrade0.canCombine                 38  true
signatureability . collection.upgrade0.canLinkTop                 38  true
signatureability . collection.upgrade0.canLinkRight               38  true
signatureability . collection.upgrade1.name                       38  "Increase Number"
signatureability . collection.upgrade1.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade1.visible                    38  true
signatureability . collection.upgrade1.attributes                 38  {}
signatureability . collection.upgrade1.size                       38  "single"
signatureability . collection.upgrade1.canSplit                   38  false
signatureability . collection.upgrade1.canCombine                 38  true
signatureability . collection.upgrade1.canLinkTop                 38  true
signatureability . collection.upgrade1.canLinkRight               38  true
signatureability . collection.upgrade2.name                       38  "Change Skill (Stealth)"
signatureability . collection.upgrade2.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade2.visible                    38  true
signatureability . collection.upgrade2.attributes                 38  {}
signatureability . collection.upgrade2.size                       38  "single"
signatureability . collection.upgrade2.canSplit                   38  false
signatureability . collection.upgrade2.canCombine                 38  true
signatureability . collection.upgrade2.canLinkTop                 38  true
signatureability . collection.upgrade2.canLinkRight               38  true
signatureability . collection.upgrade3.name                       38  "Change Skill (Skulduggery)"
signatureability . collection.upgrade3.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade3.visible                    38  true
signatureability . collection.upgrade3.attributes                 38  {}
signatureability . collection.upgrade3.size                       38  "single"
signatureability . collection.upgrade3.canSplit                   38  false
signatureability . collection.upgrade3.canCombine                 38  false
signatureability . collection.upgrade3.canLinkTop                 38  true
signatureability . collection.upgrade3.canLinkRight               38  false
signatureability . collection.upgrade4.name                       38  "Increase Effect (Challenge)"
signatureability . collection.upgrade4.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade4.visible                    38  true
signatureability . collection.upgrade4.attributes                 38  {}
signatureability . collection.upgrade4.size                       38  "single"
signatureability . collection.upgrade4.canSplit                   38  false
signatureability . collection.upgrade4.canCombine                 38  true
signatureability . collection.upgrade4.canLinkTop                 38  true
signatureability . collection.upgrade4.canLinkRight               38  true
signatureability . collection.upgrade5.name                       38  "Destiny"
signatureability . collection.upgrade5.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade5.visible                    38  true
signatureability . collection.upgrade5.attributes                 38  {}
signatureability . collection.upgrade5.size                       38  "single"
signatureability . collection.upgrade5.canSplit                   38  false
signatureability . collection.upgrade5.canCombine                 38  true
signatureability . collection.upgrade5.canLinkTop                 38  true
signatureability . collection.upgrade5.canLinkRight               38  true
signatureability . collection.upgrade6.name                       38  "Frequency"
signatureability . collection.upgrade6.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade6.visible                    38  true
signatureability . collection.upgrade6.attributes                 38  {}
signatureability . collection.upgrade6.size                       38  "single"
signatureability . collection.upgrade6.canSplit                   38  false
signatureability . collection.upgrade6.canCombine                 38  true
signatureability . collection.upgrade6.canLinkTop                 38  true
signatureability . collection.upgrade6.canLinkRight               38  true
signatureability . collection.upgrade7.name                       38  "Increase Number"
signatureability . collection.upgrade7.description                38  "Please see page 35 of the Cyphers
signatureability . collection.upgrade7.visible                    38  true
signatureability . collection.upgrade7.attributes                 38  {}
signatureability . collection.upgrade7.size                       38  "single"
signatureability . collection.upgrade7.canSplit                   38  false
signatureability . collection.upgrade7.canCombine                 38  false
signatureability . collection.upgrade7.canLinkTop                 38  true
signatureability . collection.upgrade7.canLinkRight               38  false
minion . stats.Brawn.value                                        38  1
minion . stats.Willpower.value                                    38  1
minion . stats.Willpower.label                                    38  "Willpower"
minion . stats.Willpower.abrev                                    38  "Will"
minion . species.value                                            38  ""
minion . species.type                                             38  "String"
minion . general.features                                         38  "<p></p>"
minion . general.gender                                           38  ""
minion . general.age                                              38  ""
minion . general.height                                           38  ""
minion . general.build                                            38  ""
minion . general.hair                                             38  ""
minion . general.eyes                                             38  ""
minion . general.motivation1.category                             38  ""
minion . general.motivation1.type                                 38  ""
minion . general.motivation1.description                          38  ""
minion . general.motivation2.category                             38  ""
minion . general.motivation2.type                                 38  ""
minion . general.motivation2.description                          38  ""
forcepower . collection.upgrade4.links-top-2                      37  true
signatureability . collection.upgrade4.links-right                35  true
signatureability . collection.upgrade5.links-right                35  true
signatureability . collection.upgrade6.links-right                35  true
minion . stats.Brawn.label                                        35  "Brawn"
minion . stats.Brawn.abrev                                        35  "Br"
specialization . collection.talent13.system                       34  {}
signatureability . collection.upgrade1.links-top-1                34  true
signatureability . collection.upgrade2.links-right                34  true
specialization . collection.talent15.attributes.<id>.mod          33  "Wounds"
specialization . collection.talent15.attributes.<id>.modtype      33  "Stat"
specialization . collection.talent15.attributes.<id>.value        33  2
signatureability . collection.upgrade2.links-top-1                33  true
signatureability . collection.upgrade4.links-top-1                32  true
signatureability . collection.upgrade7.links-top-1                31  true
signatureability . collection.upgrade0.links-top-1                30  true
signatureability . collection.upgrade6.links-top-1                30  true
signatureability . collection.upgrade0.links-right                30  true
signatureability . collection.upgrade5.links-top-1                30  true
specialization . collection.talent17.system                       29  {}
forcepower . collection.upgrade0.links-top-2                      29  true
forcepower . collection.upgrade9.links-top-2                      29  false
rival . stats.Brawn.label                                         29  "Brawn"
rival . stats.Brawn.abrev                                         29  "Br"
rival . stats.Willpower.label                                     29  "Willpower"
rival . stats.Willpower.abrev                                     29  "Will"
nemesis . stats.Brawn.value                                       29  2
nemesis . stats.Willpower.value                                   29  4
signatureability . collection.upgrade3.links-top-1                27  true
armour . hardpoints.current                                       25  3
armour . renderedDesc                                             25  {}
armour . adjusteditemmodifier                                     25  []
signatureability . collection.upgrade1.links-right                24  true
specialization . collection.talent15.system                       22  {}
forcepower . collection.upgrade8.links-top-2                      21  true
forcepower . collection.upgrade13.links-top-2                     21  true
forcepower . collection.upgrade4.links-top-3                      21  true
forcepower . collection.upgrade0.attributes.Coordination.mod      20  "Coordination"
forcepower . collection.upgrade0.attributes.Coordination.modtype    20  "Force Boost"
forcepower . collection.upgrade0.attributes.Coordination.value    20  true
forcepower . collection.upgrade1.attributes.Resilience.mod        20  "Resilience"
forcepower . collection.upgrade1.attributes.Resilience.modtype    20  "Force Boost"
forcepower . collection.upgrade1.attributes.Resilience.value      20  true
forcepower . collection.upgrade4.attributes.Piloting:_Planetary.mod    20  "Piloting: Planetary"
forcepower . collection.upgrade4.attributes.Piloting:_Planetary.modtype    20  "Force Boost"
forcepower . collection.upgrade4.attributes.Piloting:_Planetary.value    20  true
forcepower . collection.upgrade5.attributes.Brawl.mod             20  "Brawl"
forcepower . collection.upgrade5.attributes.Brawl.modtype         20  "Force Boost"
forcepower . collection.upgrade5.attributes.Brawl.value           20  true
forcepower . collection.upgrade8.attributes.Piloting:_Space.mod    20  "Piloting: Space"
forcepower . collection.upgrade8.attributes.Piloting:_Space.modtype    20  "Force Boost"
forcepower . collection.upgrade8.attributes.Piloting:_Space.value    20  true
signatureability . collection.upgrade3.links-right                19  true
signatureability . collection.upgrade7.links-right                19  true
specialization . collection.talent2.attributes.Knowledge: Core Worlds.mod    18  "Knowledge: Core Worlds"
specialization . collection.talent2.attributes.Knowledge: Core Worlds.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Core Worlds.value    18  1
specialization . collection.talent2.attributes.Knowledge: Education.mod    18  "Knowledge: Education"
specialization . collection.talent2.attributes.Knowledge: Education.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Education.value    18  1
specialization . collection.talent2.attributes.Knowledge: Lore.mod    18  "Knowledge: Lore"
specialization . collection.talent2.attributes.Knowledge: Lore.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Lore.value    18  1
specialization . collection.talent2.attributes.Knowledge: Outer Rim.mod    18  "Knowledge: Outer Rim"
specialization . collection.talent2.attributes.Knowledge: Outer Rim.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Outer Rim.value    18  1
specialization . collection.talent2.attributes.Knowledge: Underworld.mod    18  "Knowledge: Underworld"
specialization . collection.talent2.attributes.Knowledge: Underworld.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Underworld.value    18  1
specialization . collection.talent2.attributes.Knowledge: Warfare.mod    18  "Knowledge: Warfare"
specialization . collection.talent2.attributes.Knowledge: Warfare.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Warfare.value    18  1
specialization . collection.talent2.attributes.Knowledge: Xenology.mod    18  "Knowledge: Xenology"
specialization . collection.talent2.attributes.Knowledge: Xenology.modtype    18  "Skill Remove Setback"
specialization . collection.talent2.attributes.Knowledge: Xenology.value    18  1
forcepower . collection.upgrade4.attributes.Coercion.mod          18  "Coercion"
forcepower . collection.upgrade4.attributes.Coercion.modtype      18  "Force Boost"
forcepower . collection.upgrade4.attributes.Coercion.value        18  true
forcepower . collection.upgrade4.attributes.Charm.mod             18  "Charm"
forcepower . collection.upgrade4.attributes.Charm.modtype         18  "Force Boost"
forcepower . collection.upgrade4.attributes.Charm.value           18  true
forcepower . collection.upgrade4.attributes.Deception.mod         18  "Deception"
forcepower . collection.upgrade4.attributes.Deception.modtype     18  "Force Boost"
forcepower . collection.upgrade4.attributes.Deception.value       18  true
forcepower . collection.upgrade4.attributes.Leadership.mod        18  "Leadership"
forcepower . collection.upgrade4.attributes.Leadership.modtype    18  "Force Boost"
forcepower . collection.upgrade4.attributes.Leadership.value      18  true
forcepower . collection.upgrade4.attributes.Negotiation.mod       18  "Negotiation"
forcepower . collection.upgrade4.attributes.Negotiation.modtype    18  "Force Boost"
forcepower . collection.upgrade4.attributes.Negotiation.value     18  true
forcepower . collection.upgrade5.attributes.Coercion.mod          18  "Coercion"
forcepower . collection.upgrade5.attributes.Coercion.modtype      18  "Force Boost"
forcepower . collection.upgrade5.attributes.Coercion.value        18  true
forcepower . collection.upgrade5.attributes.Charm.mod             18  "Charm"
forcepower . collection.upgrade5.attributes.Charm.modtype         18  "Force Boost"
forcepower . collection.upgrade5.attributes.Charm.value           18  true
forcepower . collection.upgrade5.attributes.Deception.mod         18  "Deception"
forcepower . collection.upgrade5.attributes.Deception.modtype     18  "Force Boost"
forcepower . collection.upgrade5.attributes.Deception.value       18  true
forcepower . collection.upgrade5.attributes.Leadership.mod        18  "Leadership"
forcepower . collection.upgrade5.attributes.Leadership.modtype    18  "Force Boost"
forcepower . collection.upgrade5.attributes.Leadership.value      18  true
forcepower . collection.upgrade5.attributes.Negotiation.mod       18  "Negotiation"
forcepower . collection.upgrade5.attributes.Negotiation.modtype    18  "Force Boost"
forcepower . collection.upgrade5.attributes.Negotiation.value     18  true
forcepower . collection.upgrade6.attributes.Coercion.mod          18  "Coercion"
forcepower . collection.upgrade6.attributes.Coercion.modtype      18  "Force Boost"
forcepower . collection.upgrade6.attributes.Coercion.value        18  true
forcepower . collection.upgrade6.attributes.Charm.mod             18  "Charm"
forcepower . collection.upgrade6.attributes.Charm.modtype         18  "Force Boost"
forcepower . collection.upgrade6.attributes.Charm.value           18  true
forcepower . collection.upgrade6.attributes.Deception.mod         18  "Deception"
forcepower . collection.upgrade6.attributes.Deception.modtype     18  "Force Boost"
forcepower . collection.upgrade6.attributes.Deception.value       18  true
forcepower . collection.upgrade6.attributes.Leadership.mod        18  "Leadership"
forcepower . collection.upgrade6.attributes.Leadership.modtype    18  "Force Boost"
forcepower . collection.upgrade6.attributes.Leadership.value      18  true
forcepower . collection.upgrade6.attributes.Negotiation.mod       18  "Negotiation"
forcepower . collection.upgrade6.attributes.Negotiation.modtype    18  "Force Boost"
forcepower . collection.upgrade6.attributes.Negotiation.value     18  true
specialization . collection.talent1.attributes.Deception.mod      16  "Deception"
specialization . collection.talent1.attributes.Deception.modtype    16  "Skill Remove Setback"
specialization . collection.talent1.attributes.Deception.value    16  1
specialization . collection.talent1.attributes.Leadership.mod     16  "Leadership"
specialization . collection.talent1.attributes.Leadership.modtype    16  "Skill Boost"
specialization . collection.talent1.attributes.Leadership.value    16  1
gear . enrichedDescription                                        16  "<p>Standard medpacs allow a user 
gear . hasLongDesc                                                16  false
gear . doNotSubmit.qualities                                      16  []
species . renderedDesc                                            13  {}
forcepower . collection.upgrade10.links-top-2                     12  false
specialization . collection.talent0.attributes.Deception.mod      12  "Deception"
specialization . collection.talent0.attributes.Deception.modtype    12  "Skill Remove Setback"
specialization . collection.talent0.attributes.Deception.value    12  1
specialization . collection.talent2.attributes.Coordination.mod    12  "Coordination"
specialization . collection.talent2.attributes.Coordination.modtype    12  "Skill Boost"
specialization . collection.talent2.attributes.Coordination.value    12  1
specialization . collection.talent9.attributes.Leadership.mod     12  "Leadership"
specialization . collection.talent9.attributes.Leadership.modtype    12  "Skill Remove Setback"
specialization . collection.talent9.attributes.Leadership.value    12  1
specialization . renderedDesc                                     12  {}
specialization . collection.talent6.attributes.Deception.mod      11  "Deception"
specialization . collection.talent6.attributes.Deception.modtype    11  "Skill Remove Setback"
specialization . collection.talent6.attributes.Deception.value    11  1
forcepower . collection.upgrade13.links-top-3                     11  true
shipweapon . hardpoints.current                                   11  0
shipweapon . renderedDesc                                         11  ""
shipweapon . adjusteditemmodifier                                 11  [{"name":"Ensnare Quality","type":
specialization . collection.talent0.attributes.Athletics.mod      10  "Athletics"
specialization . collection.talent0.attributes.Athletics.modtype    10  "Skill Remove Setback"
specialization . collection.talent0.attributes.Athletics.value    10  1
specialization . collection.talent0.attributes.Coordination.mod    10  "Coordination"
specialization . collection.talent0.attributes.Coordination.modtype    10  "Skill Remove Setback"
specialization . collection.talent0.attributes.Coordination.value    10  1
specialization . collection.talent1.attributes.Coordination.mod    10  "Coordination"
specialization . collection.talent1.attributes.Coordination.modtype    10  "Skill Boost"
specialization . collection.talent1.attributes.Coordination.value    10  1
specialization . collection.talent11.attributes.attr<id>.modtype    10  "Career Skill"
specialization . collection.talent11.attributes.attr<id>.value    10  true
specialization . collection.talent11.attributes.attr<id>.mod      10  "Astrogation"
specialization . collection.talent0.attributes.Coercion.mod       10  "Coercion"
specialization . collection.talent0.attributes.Coercion.modtype    10  "Skill Remove Setback"
specialization . collection.talent0.attributes.Coercion.value     10  1
specialization . collection.talent2.attributes.Leadership.mod     10  "Leadership"
specialization . collection.talent2.attributes.Leadership.modtype    10  "Skill Remove Setback"
specialization . collection.talent2.attributes.Leadership.value    10  1
specialization . collection.talent4.attributes.Leadership.mod     10  "Leadership"
specialization . collection.talent4.attributes.Leadership.modtype    10  "Skill Boost"
specialization . collection.talent4.attributes.Leadership.value    10  1
specialization . collection.talent5.attributes.Leadership.mod     10  "Leadership"
specialization . collection.talent5.attributes.Leadership.modtype    10  "Skill Remove Setback"
specialization . collection.talent5.attributes.Leadership.value    10  1
specialization . collection.talent3.attributes.Leadership.mod     10  "Leadership"
specialization . collection.talent3.attributes.Leadership.modtype    10  "Skill Boost"
specialization . collection.talent3.attributes.Leadership.value    10  1
specialization . collection.talent1.attributes.Vigilance.mod      10  "Vigilance"
specialization . collection.talent1.attributes.Vigilance.modtype    10  "Skill Boost"
specialization . collection.talent1.attributes.Vigilance.value    10  1
specialization . collection.talent1.attributes.Skulduggery.mod    10  "Skulduggery"
specialization . collection.talent1.attributes.Skulduggery.modtype    10  "Skill Remove Setback"
specialization . collection.talent1.attributes.Skulduggery.value    10  1
specialization . collection.talent1.attributes.attr<id>.modtype    10  "Stat"
specialization . collection.talent1.attributes.attr<id>.mod       10  "Strain"
specialization . collection.talent1.attributes.attr<id>.value     10  1
forcepower . collection.upgrade12.links-top-3                      9  true
specialization . collection.talent6.attributes.Skulduggery.mod     9  "Skulduggery"
specialization . collection.talent6.attributes.Skulduggery.modtype     9  "Skill Remove Setback"
specialization . collection.talent6.attributes.Skulduggery.value     9  1
forcepower . collection.upgrade5.links-top-2                       9  false
specialization . collection.talent4.attributes.attr<id>.modtype     9  "Career Skill"
specialization . collection.talent4.attributes.attr<id>.value      9  true
specialization . collection.talent4.attributes.attr<id>.mod        9  "Astrogation"
specialization . collection.talent10.attributes.attr<id>.value     9  1
specialization . collection.talent10.attributes.attr<id>.modtype     9  "Skill Boost"
specialization . collection.talent10.attributes.attr<id>.mod       9  "Brawl"
specialization . collection.talent1.attributes.Athletics.mod       8  "Athletics"
specialization . collection.talent1.attributes.Athletics.modtype     8  "Skill Boost"
specialization . collection.talent1.attributes.Athletics.value     8  1
specialization . collection.talent5.attributes.Coercion.mod        8  "Coercion"
specialization . collection.talent5.attributes.Coercion.modtype     8  "Skill Remove Setback"
specialization . collection.talent5.attributes.Coercion.value      8  1
specialization . collection.talent5.attributes.Deception.mod       8  "Deception"
specialization . collection.talent5.attributes.Deception.modtype     8  "Skill Remove Setback"
specialization . collection.talent5.attributes.Deception.value     8  1
forcepower . collection.upgrade0.links-top-3                       8  true
